Average RMSE of model for death_total: 21.563956735126265, epochs: 1000, batch_size: 10, data from 2020-04-01\
Average RMSE of model for death_total: 9.894464704768483, epochs: 1000, batch_size: 10, all data\
Average RMSE of model for death_total: 44.54821890920868, epochs: 1000, batch_size: 15, data from 2020-04-01\
Average RMSE of model for death_total: 10.05886861574202, epochs: 1000, batch_size: 15, all data\
Average RMSE of model for death_total: 38.084695830618045, epochs: 1000, batch_size: 30, data from 2020-04-01\
Average RMSE of model for death_total: 11.10332225539937, epochs: 1000, batch_size: 30, all data\
Average RMSE of model for death_total: 62.94951644207623, epochs: 1000, batch_size: 50, data from 2020-04-01\
Average RMSE of model for death_total: 11.959660769615397, epochs: 1000, batch_size: 50, all data\
Average RMSE of model for death_per_day: 9.495593428017786, epochs: 10, batch_size: 1, data from 2020-04-01\
Average RMSE of model for death_per_day: 9.717965680255295, epochs: 10, batch_size: 1, all data\
Average RMSE of model for death_per_day: 9.86030657697027, epochs: 10, batch_size: 5, data from 2020-04-01\
Average RMSE of model for death_per_day: 6.781015921054272, epochs: 10, batch_size: 5, all data\
Average RMSE of model for death_per_day: 8.937214052241732, epochs: 10, batch_size: 10, data from 2020-04-01\
Average RMSE of model for death_per_day: 7.9192179400824205, epochs: 10, batch_size: 10, all data\
Average RMSE of model for death_per_day: 8.022020264481917, epochs: 10, batch_size: 15, data from 2020-04-01\
Average RMSE of model for death_per_day: 7.490370480520779, epochs: 10, batch_size: 15, all data\
Average RMSE of model for death_per_day: 7.774309723498284, epochs: 10, batch_size: 30, data from 2020-04-01\
Average RMSE of model for death_per_day: 6.994179647140721, epochs: 10, batch_size: 30, all data\
Average RMSE of model for death_per_day: 7.196828731423799, epochs: 10, batch_size: 50, data from 2020-04-01\
Average RMSE of model for death_per_day: 7.766269563624918, epochs: 10, batch_size: 50, all data\
Average RMSE of model for death_per_day: 9.172740883837148, epochs: 50, batch_size: 1, data from 2020-04-01\
Average RMSE of model for death_per_day: 8.255217335666275, epochs: 50, batch_size: 1, all data\
Average RMSE of model for death_per_day: 10.560001705028329, epochs: 50, batch_size: 5, data from 2020-04-01\
Average RMSE of model for death_per_day: 7.489145901014171, epochs: 50, batch_size: 5, all data\
Average RMSE of model for death_per_day: 9.18466899600081, epochs: 50, batch_size: 10, data from 2020-04-01\
Average RMSE of model for death_per_day: 10.408792325063555, epochs: 50, batch_size: 10, all data\
Average RMSE of model for death_per_day: 9.614545508308364, epochs: 50, batch_size: 15, data from 2020-04-01\
Average RMSE of model for death_per_day: 7.06033613436791, epochs: 50, batch_size: 15, all data\
Average RMSE of model for death_per_day: 9.25905479825583, epochs: 50, batch_size: 30, data from 2020-04-01\
Average RMSE of model for death_per_day: 8.524281542156842, epochs: 50, batch_size: 30, all data\
Average RMSE of model for death_per_day: 9.345142880517853, epochs: 50, batch_size: 50, data from 2020-04-01\
Average RMSE of model for death_per_day: 7.084452030316561, epochs: 50, batch_size: 50, all data\
Average RMSE of model for death_per_day: 10.212276435411143, epochs: 100, batch_size: 1, data from 2020-04-01\
Average RMSE of model for death_per_day: 10.346815575638113, epochs: 100, batch_size: 1, all data\
Average RMSE of model for death_per_day: 9.243067112498636, epochs: 100, batch_size: 5, data from 2020-04-01\
Average RMSE of model for death_per_day: 8.780629570865788, epochs: 100, batch_size: 5, all data\
Average RMSE of model for death_per_day: 9.367492285846486, epochs: 100, batch_size: 10, data from 2020-04-01\
Average RMSE of model for death_per_day: 7.989671916776642, epochs: 100, batch_size: 10, all data\
Average RMSE of model for death_per_day: 9.162960340250738, epochs: 100, batch_size: 15, data from 2020-04-01\
Average RMSE of model for death_per_day: 9.146631966078859, epochs: 100, batch_size: 15, all data\
Average RMSE of model for death_per_day: 9.969463561753665, epochs: 100, batch_size: 30, data from 2020-04-01\
Average RMSE of model for death_per_day: 9.254389490712638, epochs: 100, batch_size: 30, all data\
Average RMSE of model for death_per_day: 11.063805384699094, epochs: 100, batch_size: 50, data from 2020-04-01\
Average RMSE of model for death_per_day: 8.996456813186864, epochs: 100, batch_size: 50, all data\
Average RMSE of model for death_per_day: 9.335048846225211, epochs: 200, batch_size: 1, data from 2020-04-01\
Average RMSE of model for death_per_day: 8.126014997632241, epochs: 200, batch_size: 1, all data\
Average RMSE of model for death_per_day: 9.268343123411105, epochs: 200, batch_size: 5, data from 2020-04-01\
Average RMSE of model for death_per_day: 7.6936787400433495, epochs: 200, batch_size: 5, all data\
Average RMSE of model for death_per_day: 9.507864809185172, epochs: 200, batch_size: 10, data from 2020-04-01\
Average RMSE of model for death_per_day: 8.100923330217285, epochs: 200, batch_size: 10, all data\
Average RMSE of model for death_per_day: 10.260839816449643, epochs: 200, batch_size: 15, data from 2020-04-01\
Average RMSE of model for death_per_day: 12.141005550948734, epochs: 200, batch_size: 15, all data\
Average RMSE of model for death_per_day: 11.941786933441275, epochs: 200, batch_size: 30, data from 2020-04-01\
Average RMSE of model for death_per_day: 10.059807051665988, epochs: 200, batch_size: 30, all data\
Average RMSE of model for death_per_day: 10.388827321743939, epochs: 200, batch_size: 50, data from 2020-04-01\
Average RMSE of model for death_per_day: 9.584629149618271, epochs: 200, batch_size: 50, all data\
Average RMSE of model for death_per_day: 8.773625478593566, epochs: 500, batch_size: 1, data from 2020-04-01\
Average RMSE of model for death_per_day: 7.189697507108635, epochs: 500, batch_size: 1, all data\
Average RMSE of model for death_per_day: 8.73118184568818, epochs: 500, batch_size: 5, data from 2020-04-01\
Average RMSE of model for death_per_day: 7.182901139277899, epochs: 500, batch_size: 5, all data\
Average RMSE of model for death_per_day: 8.715053361350558, epochs: 500, batch_size: 10, data from 2020-04-01\
Average RMSE of model for death_per_day: 7.96220750541789, epochs: 500, batch_size: 10, all data\
Average RMSE of model for death_per_day: 9.165836373328256, epochs: 500, batch_size: 15, data from 2020-04-01\
Average RMSE of model for death_per_day: 10.149767515571078, epochs: 500, batch_size: 15, all data\
Average RMSE of model for death_per_day: 10.734573531814632, epochs: 500, batch_size: 30, data from 2020-04-01\
Average RMSE of model for death_per_day: 11.76238169662978, epochs: 500, batch_size: 30, all data\
Average RMSE of model for death_per_day: 9.454687290395606, epochs: 500, batch_size: 50, data from 2020-04-01\
Average RMSE of model for death_per_day: 10.426240873218024, epochs: 500, batch_size: 50, all data\
Average RMSE of model for death_per_day: 9.75068742015627, epochs: 1000, batch_size: 1, data from 2020-04-01\
Average RMSE of model for death_per_day: 9.390243592782443, epochs: 1000, batch_size: 1, all data\
Average RMSE of model for death_per_day: 8.320632674335517, epochs: 1000, batch_size: 5, data from 2020-04-01\
Average RMSE of model for death_per_day: 7.343196268170859, epochs: 1000, batch_size: 5, all data\
Average RMSE of model for death_per_day: 8.945260106269492, epochs: 1000, batch_size: 10, data from 2020-04-01\
Average RMSE of model for death_per_day: 9.133821817018418, epochs: 1000, batch_size: 10, all data\
Average RMSE of model for death_per_day: 9.028627321728864, epochs: 1000, batch_size: 15, data from 2020-04-01\
Average RMSE of model for death_per_day: 9.089178752085171, epochs: 1000, batch_size: 15, all data\
Average RMSE of model for death_per_day: 12.481827344793464, epochs: 1000, batch_size: 30, data from 2020-04-01\
Average RMSE of model for death_per_day: 10.792507747337453, epochs: 1000, batch_size: 30, all data\
Average RMSE of model for death_per_day: 12.06900146697866, epochs: 1000, batch_size: 50, data from 2020-04-01\
Average RMSE of model for death_per_day: 10.52807483453639, epochs: 1000, batch_size: 50, all data\
}
